angle [deg]	counting rate [cps]
38.00	0.99
38.20	1.50
38.30	2.51
38.40	3.01
38.50	3.01
38.60	3.99
38.70	3.49
38.80	3.47
38.90	3.97
39.00	3.99
39.10	5.03
39.20	3.03
39.30	3.00
39.40	7.01
39.50	6.03
39.60	4.52
39.70	5.02
39.80	4.01
39.90	2.00
40.00	0.49
40.10	0.99
40.20	2.51
40.30	3.50
40.40	2.98
40.50	1.99
40.60	0.50
40.70	0.00
40.80	1.49
40.90	1.99
41.00	0.99
41.10	3.01
41.20	4.53
41.30	3.52
41.40	2.51
41.50	1.50
41.60	1.00
41.70	0.99
41.80	1.49
41.90	2.49
42.00	2.00
42.10	2.00
42.20	2.00
42.30	0.99
42.40	0.49
42.50	0.49
42.60	2.49
42.70	2.00
42.80	0.99
42.90	1.49
43.00	1.99
43.10	1.99
43.20	1.99
43.30	4.49
43.40	6.96
43.50	9.93
43.60	13.43
43.70	15.39
43.80	13.02
43.90	14.61
44.00	16.52
44.10	12.54
44.20	11.52
44.30	8.98
44.40	4.51
44.50	6.54
44.60	7.56
44.70	3.00
44.80	3.01
44.90	5.03
45.00	3.50
45.10	2.00
45.20	2.00
45.30	2.47
45.40	2.47
45.50	2.49
45.60	2.47
45.70	2.47
45.80	1.49
45.90	0.00
46.00	2.01
46.10	2.01
46.20	1.00
46.30	2.51
46.40	2.01
46.50	1.00
46.60	1.50
46.70	0.99
46.80	0.99
46.90	1.49
47.00	0.99
47.10	1.50
47.20	2.51
47.30	2.00
47.40	1.49
47.50	1.49
47.60	0.99
47.70	0.99
47.80	1.00
47.90	0.99
48.00	0.99
