angle [deg]	counting rate [cps]
25.00	18.03
25.20	16.05
25.30	14.04
25.40	12.00
25.50	12.00
25.60	12.50
25.70	11.57
25.80	9.13
25.90	11.10
26.00	12.04
26.10	10.98
26.20	8.48
26.30	8.00
26.40	13.50
26.50	16.90
26.60	11.90
26.70	11.01
26.80	12.52
26.90	11.47
27.00	10.01
27.10	9.06
27.20	10.01
27.30	10.90
27.40	18.45
27.50	27.11
27.60	37.63
27.70	49.80
27.80	69.10
27.90	80.69
28.00	77.04
28.10	75.77
28.20	79.60
28.30	76.79
28.40	71.66
28.50	70.02
28.60	53.95
28.70	44.32
28.80	44.71
28.90	42.35
29.00	35.04
29.10	23.46
29.20	18.01
29.30	18.89
29.40	17.88
29.50	13.47
29.60	13.59
29.70	14.06
29.80	13.03
29.90	15.57
30.00	15.54
30.10	15.51
30.20	17.56
30.30	16.55
30.40	17.45
30.50	20.36
30.60	33.71
30.70	71.79
30.80	121.84
30.90	179.19
31.00	267.52
31.10	333.65
31.20	355.97
31.30	367.75
31.40	372.04
31.50	371.07
31.60	363.81
31.70	323.96
31.80	248.46
31.90	194.84
32.00	169.12
32.10	135.88
32.20	91.55
32.30	59.51
32.40	31.55
32.50	15.97
32.60	15.45
32.70	15.94
32.80	16.49
32.90	11.96
33.00	12.47
33.10	14.01
33.20	12.50
33.30	12.95
33.40	11.38
33.50	10.43
33.60	11.99
33.70	10.03
33.80	8.03
33.90	8.98
34.00	14.65
34.10	17.28
34.20	13.09
34.30	13.97
34.40	12.96
34.50	14.93
34.60	15.39
34.70	12.48
34.80	14.00
34.90	13.93
40.60	0.00
