angle [deg]	counting rate [cps]
20.00	12.00
20.20	9.98
20.40	8.49
20.60	13.10
20.80	8.19
21.00	7.51
21.20	7.23
21.40	8.42
21.60	10.43
21.80	11.05
22.00	10.33
22.20	14.51
22.40	13.69
22.60	11.46
22.80	8.75
23.00	9.52
23.20	8.44
23.40	12.43
23.60	9.51
23.80	11.02
24.00	8.27
24.20	8.52
24.40	8.23
24.60	9.45
24.80	12.22
25.00	6.98
25.20	7.97
25.40	6.72
25.60	4.51
25.80	4.75
26.00	6.52
26.20	7.78
26.40	6.47
26.60	8.93
26.80	13.07
27.00	9.59
27.20	5.01
27.40	8.50
27.60	6.27
27.80	7.29
28.00	5.82
28.20	2.02
28.40	3.28
28.60	6.25
28.80	10.83
29.00	7.54
29.20	6.00
29.40	6.01
29.60	4.50
29.80	3.99
30.00	8.48
30.20	7.70
30.40	8.47
30.60	6.01
30.80	5.81
31.00	10.53
31.20	9.74
31.40	9.68
31.60	10.72
31.80	6.51
32.00	5.74
32.20	7.48
32.40	7.23
32.60	7.67
32.80	5.72
33.00	7.26
33.20	7.31
33.40	8.50
33.60	11.39
33.80	6.82
34.00	7.99
34.20	4.48
34.40	2.97
34.60	6.77
34.80	5.80
35.00	5.81
35.20	6.01
35.40	7.49
35.60	7.93
35.80	6.45
36.00	5.23
36.20	6.48
36.40	10.76
36.60	8.28
36.80	8.46
37.00	5.22
37.20	9.27
37.40	10.43
37.60	8.50
37.80	5.72
38.00	8.04
38.20	6.76
38.40	9.00
38.60	10.75
38.80	9.52
39.00	13.39
39.20	25.38
39.40	34.14
39.60	32.18
39.80	39.68
40.00	27.31
40.20	13.76
40.40	12.43
40.60	9.29
40.80	11.05
41.00	8.29
41.20	10.00
41.40	8.04
41.60	3.26
41.80	7.94
42.00	11.54
42.20	10.57
42.40	6.98
42.60	3.76
42.80	11.19
43.00	12.43
43.20	17.24
43.40	21.20
43.60	32.05
43.80	77.22
44.00	138.42
44.20	193.36
44.40	209.06
44.60	175.62
44.80	123.28
45.00	56.55
45.20	34.62
45.40	21.35
45.60	11.16
45.80	16.65
46.00	11.56
46.20	7.47
46.40	11.48
46.60	7.74
46.80	6.05
47.00	6.82
47.20	8.57
47.40	12.84
47.60	11.74
47.80	10.23
48.00	0.00
48.20	8.59
48.40	6.27
48.60	8.27
48.80	8.25
49.00	4.25
49.20	8.26
49.40	7.77
49.60	6.23
49.80	8.24
50.00	10.48
50.20	9.44
50.40	5.20
50.60	9.23
50.80	5.73
51.00	3.99
51.20	5.46
51.40	6.06
51.60	7.49
51.80	7.93
52.00	5.73
52.20	8.00
52.40	9.71
52.60	12.20
52.80	10.02
53.00	9.06
53.20	6.75
53.40	10.43
53.60	8.24
53.80	6.28
54.00	6.78
54.20	7.75
54.40	11.10
54.60	9.79
54.80	6.72
55.00	5.97
55.20	6.00
55.40	4.47
55.60	5.57
55.80	8.18
56.00	6.71
56.20	7.46
56.40	8.04
56.60	8.78
56.80	6.73
57.00	2.99
57.20	4.27
57.40	7.21
57.60	10.21
57.80	3.48
58.00	2.47
58.20	3.69
58.40	7.06
58.60	10.28
58.80	6.49
59.00	11.84
59.20	8.71
59.40	6.99
59.60	6.24
59.80	5.20
60.00	3.48
60.20	5.98
60.40	7.74
60.60	2.00
60.80	5.29
61.00	6.24
61.20	6.76
61.40	4.77
61.60	5.50
61.80	14.40
62.00	8.79
62.20	6.80
62.40	7.04
62.60	4.75
62.80	10.73
63.00	8.50
63.20	7.08
63.40	7.85
63.60	7.26
63.80	6.97
64.00	5.49
64.20	7.24
64.40	10.16
64.60	9.38
64.80	7.45
65.00	7.73
65.20	9.53
65.40	7.07
65.60	9.78
65.80	9.53
66.00	9.71
66.20	6.26
66.40	9.46
66.60	9.48
66.80	5.23
67.00	6.25
67.20	5.51
67.40	6.55
67.60	3.25
67.80	8.04
68.00	9.99
68.20	9.20
68.40	13.54
68.60	8.21
68.80	9.03
69.00	7.76
69.20	5.52
69.40	7.21
69.60	5.71
69.80	6.49
70.00	11.60
70.20	7.07
70.40	5.72
70.60	8.22
70.80	7.47
71.00	7.70
71.20	11.77
71.40	10.13
71.60	11.96
71.80	7.72
72.00	7.52
72.20	4.97
72.40	9.24
72.60	7.24
72.80	5.94
73.00	10.47
73.20	10.45
73.40	5.48
73.60	10.67
73.80	6.97
74.00	3.49
74.20	6.01
74.40	6.96
74.60	5.54
74.80	9.61
75.00	8.86
75.20	8.83
75.40	4.56
75.60	6.05
75.80	7.01
76.00	6.32
76.20	7.54
76.40	5.77
76.60	5.80
76.80	6.77
77.00	4.04
77.20	7.48
77.40	5.98
77.60	7.92
77.80	6.72
78.00	8.24
78.20	9.70
78.40	6.96
78.60	7.47
78.80	8.03
79.00	3.52
79.20	5.75
79.40	10.00
79.60	7.99
79.80	9.16
80.00	12.34
80.20	10.74
80.40	7.00
80.60	9.05
80.80	13.79
81.00	10.52
81.20	9.76
81.40	7.75
81.60	8.48
81.80	8.24
82.00	11.82
82.20	10.01
82.40	11.15
82.60	9.73
82.80	9.01
83.00	8.31
83.20	3.50
83.40	6.49
83.60	6.49
83.80	8.18
84.00	10.54
84.20	8.75
84.40	7.91
84.60	10.99
84.80	14.25
85.00	12.68
85.20	15.72
85.40	20.04
85.60	18.68
85.80	23.00
86.00	39.03
86.20	51.01
86.40	61.05
